200c, 4ft, 228.609375, 17191, 0
200c, 4ft, 228.875, 17208, 1
200c, 4ft, 228.625, 17192, 2
200c, 4ft, 229.828125, 17269, 3
200c, 4ft, 230.265625, 17297, 4
200c, 4ft, 230.078125, 17285, 5
200c, 4ft, 230.578125, 17317, 6
200c, 4ft, 230.71875, 17326, 7
200c, 4ft, 231.234375, 17359, 8
200c, 4ft, 230.796875, 17331, 9
200c, 6ft, 218.9375, 16572, 0
200c, 6ft, 218.921875, 16571, 1
200c, 6ft, 218.515625, 16545, 2
200c, 6ft, 217.640625, 16489, 3
200c, 6ft, 217.109375, 16455, 4
200c, 6ft, 217.5, 16480, 5
200c, 6ft, 216.890625, 16441, 6
200c, 6ft, 219.453125, 16605, 7
200c, 6ft, 221.03125, 16706, 8
200c, 6ft, 221.234375, 16719, 9
200c, 8ft, 220.328125, 16661, 0
200c, 8ft, 220.34375, 16662, 1
200c, 8ft, 219.90625, 16634, 2
200c, 8ft, 219.859375, 16631, 3
200c, 8ft, 220.25, 16656, 4
200c, 8ft, 219.828125, 16629, 5
200c, 8ft, 219.390625, 16601, 6
200c, 8ft, 219.796875, 16627, 7
200c, 8ft, 220.328125, 16661, 8
200c, 8ft, 220.59375, 16678, 9
200c, 10ft, 216.875, 16440, 0
200c, 10ft, 216.9375, 16444, 1
200c, 10ft, 216.828125, 16437, 2
200c, 10ft, 217.03125, 16450, 3
200c, 10ft, 216.71875, 16430, 4
200c, 10ft, 217.0625, 16452, 5
200c, 10ft, 216.953125, 16445, 6
200c, 10ft, 216.9375, 16444, 7
200c, 10ft, 216.625, 16424, 8
200c, 10ft, 216.5, 16416, 9
200c, 12ft, 211.625, 16104, 0
200c, 12ft, 211.59375, 16102, 1
200c, 12ft, 211.59375, 16102, 2
200c, 12ft, 211.625, 16104, 3
200c, 12ft, 211.125, 16072, 4
200c, 12ft, 211.640625, 16105, 5
200c, 12ft, 211.640625, 16105, 6
200c, 12ft, 211.375, 16088, 7
200c, 12ft, 211.03125, 16066, 8
200c, 12ft, 211.5625, 16100, 9
200c, 14ft, 202.890625, 15545, 0
200c, 14ft, 202.765625, 15537, 1
200c, 14ft, 203.03125, 15554, 2
200c, 14ft, 203.6875, 15596, 3
200c, 14ft, 203.203125, 15565, 4
200c, 14ft, 203.671875, 15595, 5
200c, 14ft, 203.609375, 15591, 6
200c, 14ft, 204.109375, 15623, 7
200c, 14ft, 203.640625, 15593, 8
200c, 14ft, 203.671875, 15595, 9
200c, 16ft, 196.546875, 15139, 0
200c, 16ft, 196.546875, 15139, 1
200c, 16ft, 197.0, 15168, 2
200c, 16ft, 197.828125, 15221, 3
200c, 16ft, 197.640625, 15209, 4
200c, 16ft, 197.375, 15192, 5
200c, 16ft, 197.8125, 15220, 6
200c, 16ft, 197.78125, 15218, 7
200c, 16ft, 198.09375, 15238, 8
200c, 16ft, 197.828125, 15221, 9
200c, 18ft, 186.1875, 14476, 0
200c, 18ft, 186.671875, 14507, 1
200c, 18ft, 186.703125, 14509, 2
200c, 18ft, 187.578125, 14565, 3
200c, 18ft, 187.984375, 14591, 4
200c, 18ft, 187.03125, 14530, 5
200c, 18ft, 187.0625, 14532, 6
200c, 18ft, 187.546875, 14563, 7
200c, 18ft, 188.03125, 14594, 8
200c, 18ft, 188.046875, 14595, 9
200c, 20ft, 182.0625, 14212, 0
200c, 20ft, 181.578125, 14181, 1
200c, 20ft, 181.578125, 14181, 2
200c, 20ft, 182.0625, 14212, 3
200c, 20ft, 182.546875, 14243, 4
200c, 20ft, 182.078125, 14213, 5
200c, 20ft, 182.578125, 14245, 6
200c, 20ft, 182.0625, 14212, 7
200c, 20ft, 181.5625, 14180, 8
200c, 20ft, 182.015625, 14209, 9
200c, 22ft, 177.5625, 13924, 0
200c, 22ft, 178.015625, 13953, 1
200c, 22ft, 177.578125, 13925, 2
200c, 22ft, 177.59375, 13926, 3
200c, 22ft, 177.546875, 13923, 4
200c, 22ft, 177.53125, 13922, 5
200c, 22ft, 177.5, 13920, 6
200c, 22ft, 177.203125, 13901, 7
200c, 22ft, 177.34375, 13910, 8
200c, 22ft, 177.3125, 13908, 9
200c, 24ft, 172.859375, 13623, 0
200c, 24ft, 172.859375, 13623, 1
200c, 24ft, 173.234375, 13647, 2
200c, 24ft, 173.0, 13632, 3
200c, 24ft, 172.765625, 13617, 4
200c, 24ft, 172.34375, 13590, 5
200c, 24ft, 172.734375, 13615, 6
200c, 24ft, 172.734375, 13615, 7
200c, 24ft, 172.703125, 13613, 8
200c, 24ft, 172.140625, 13577, 9
200c, 26ft, 172.734375, 13615, 0
200c, 26ft, 172.703125, 13613, 1
200c, 26ft, 172.703125, 13613, 2
200c, 26ft, 172.296875, 13587, 3
200c, 26ft, 172.71875, 13614, 4
200c, 26ft, 173.140625, 13641, 5
200c, 26ft, 173.125, 13640, 6
200c, 26ft, 173.234375, 13647, 7
200c, 26ft, 173.171875, 13643, 8
200c, 26ft, 173.265625, 13649, 9
200c, 28ft, 169.1875, 13388, 0
200c, 28ft, 169.171875, 13387, 1
200c, 28ft, 169.1875, 13388, 2
200c, 28ft, 169.171875, 13387, 3
200c, 28ft, 169.21875, 13390, 4
